date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:06	56/56	---M--	200	added ('OK')	text/plain	etag:%2238-55e8498743580%22	https://mycsu.csuohio.edu/robots.txt		(from )
00:03:07	68282/68282	---M--	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202024%2004:03:06%20GMT	https://mycsu.csuohio.edu/	mycsu.csuohio.edu/index.html	(from )
00:03:07	8029/8029	---M--	200	added ('OK')	application/javascript	etag:%221f5d-44eb806ddf0c0%22	https://mycsu.csuohio.edu/inc/js/AC_RunActiveContent.js	mycsu.csuohio.edu/inc/js/AC_RunActiveContent.js	(from https://mycsu.csuohio.edu/)
00:03:08	3531/3531	---M--	200	added ('OK')	application/javascript	etag:%22dcb-44eb806ddf0c0%22	https://mycsu.csuohio.edu/inc/js/flash_detect.js	mycsu.csuohio.edu/inc/js/flash_detect.js	(from https://mycsu.csuohio.edu/)
00:03:09	401/401	---M--	200	added ('OK')	text/plain	etag:%22191-44eb806ddf0c0%22	https://mycsu.csuohio.edu/inc/js/flash_helper.vbs	mycsu.csuohio.edu/inc/js/flash_helper.vbs	(from https://mycsu.csuohio.edu/)
00:03:10	52974/52974	---M--	200	added ('OK')	application/javascript	etag:%22ceee-4854fcb537ec0%22	https://mycsu.csuohio.edu/inc/js/jquery.js	mycsu.csuohio.edu/inc/js/jquery.js	(from https://mycsu.csuohio.edu/)
00:03:11	79402/79402	---M--	200	added ('OK')	application/javascript	etag:%221362a-44e6b185c1e00%22	https://mycsu.csuohio.edu/inc/js/interface.js	mycsu.csuohio.edu/inc/js/interface.js	(from https://mycsu.csuohio.edu/)
00:03:12	1998/1998	---M--	200	added ('OK')	text/css	etag:%227ce-4c509bef5cd00%22	https://mycsu.csuohio.edu/inc/css/css-interface.css	mycsu.csuohio.edu/inc/css/css-interface.css	(from https://mycsu.csuohio.edu/)
00:03:13	15791/15791	---M--	200	added ('OK')	text/css	etag:%223daf-4c4b7f89de800%22	https://mycsu.csuohio.edu/inc/css/styles_general.css	mycsu.csuohio.edu/inc/css/styles_general.css	(from https://mycsu.csuohio.edu/)
00:03:14	4074/4074	---M--	200	added ('OK')	text/css	etag:%22fea-4c509db643e40%22	https://mycsu.csuohio.edu/inc/css/styles_mycsu.css	mycsu.csuohio.edu/inc/css/styles_mycsu.css	(from https://mycsu.csuohio.edu/)
00:03:15	8851/8851	---M--	200	added ('OK')	image/gif	etag:%222293-4490b6becedc0%22	https://mycsu.csuohio.edu/graphics/mycsu/nav_left.gif	mycsu.csuohio.edu/graphics/mycsu/nav_left.gif	(from https://mycsu.csuohio.edu/)
00:03:16	1197/1197	---M--	200	added ('OK')	image/gif	etag:%224ad-4490b6becedc0%22	https://mycsu.csuohio.edu/graphics/mycsu/nav_go.gif	mycsu.csuohio.edu/graphics/mycsu/nav_go.gif	(from https://mycsu.csuohio.edu/)
00:03:17	746/746	---M--	200	added ('OK')	image/gif	etag:%222ea-4490b6becedc0%22	https://mycsu.csuohio.edu/graphics/mycsu/nav_right.gif	mycsu.csuohio.edu/graphics/mycsu/nav_right.gif	(from https://mycsu.csuohio.edu/)
00:03:18	3706/3706	---M--	200	added ('OK')	image/jpeg	etag:%22e7a-449bc7b59bac0%22	https://mycsu.csuohio.edu/graphics/global/CSU_navright_myCSU.jpg	mycsu.csuohio.edu/graphics/global/CSU_navright_myCSU.jpg	(from https://mycsu.csuohio.edu/)
00:03:19	72480/72480	---M--	200	added ('OK')	image/png	etag:%2211b20-613f475b2a8c2%22	https://mycsu.csuohio.edu/images/Postseason_MyCSU.png	mycsu.csuohio.edu/images/Postseason_MyCSU.png	(from https://mycsu.csuohio.edu/)
00:03:20	9339/9339	---M--	200	added ('OK')	image/gif	etag:%22247b-48ed4c5590880%22	https://mycsu.csuohio.edu/graphics/mycsu/ad_socialmedia.gif	mycsu.csuohio.edu/graphics/mycsu/ad_socialmedia.gif	(from https://mycsu.csuohio.edu/)
00:03:21	1536/1536	---M--	200	added ('OK')	image/gif	etag:%22600-4d0d55fefb8c0%22	https://mycsu.csuohio.edu/images/e365-Small-3c_38px.gif	mycsu.csuohio.edu/images/e365-Small-3c_38px.gif	(from https://mycsu.csuohio.edu/)
00:03:22	408/408	---M--	303	error ('See%20Other')	text/html	date:Wed,%2020%20Mar%202024%2004:03:21%20GMT	https://mycsu.csuohio.edu/offices/hrd/vikehealth.html	mycsu.csuohio.edu/offices/hrd/vikehealth.html	(from https://mycsu.csuohio.edu/)
00:03:23	923/923	---M--	303	error ('See%20Other')	text/html	date:Wed,%2020%20Mar%202024%2004:03:22%20GMT	https://mycsu.csuohio.edu/mellon/login?ReturnTo=https%3A%2F%2Fmycsu.csuohio.edu%2Foffices%2Fhrd%2Fvikehealth.html&IdP=https%3A%2F%2Fsts.windows.net%2Fd7f3e79a%2D943d%2D4ace%2Daeab%2D209030807508%2F	mycsu.csuohio.edu/mellon/login6d7e	(from https://mycsu.csuohio.edu/)
00:03:25	9299/9299	---M--	200	added ('OK')	image/png	etag:%222453-4ce680ebc8880%22	https://mycsu.csuohio.edu/compiled/images/11promo_fa_campusnet.png	mycsu.csuohio.edu/compiled/images/11promo_fa_campusnet.png	(from https://mycsu.csuohio.edu/)
00:03:26	1394/1394	---M--	200	added ('OK')	image/gif	etag:%22572-4490b6becedc0%22	https://mycsu.csuohio.edu/graphics/mycsu/col_head3.gif	mycsu.csuohio.edu/graphics/mycsu/col_head3.gif	(from https://mycsu.csuohio.edu/)
00:03:27	1659/1659	---M--	200	added ('OK')	image/gif	etag:%2267b-4490b6becedc0%22	https://mycsu.csuohio.edu/graphics/mycsu/col_head2.gif	mycsu.csuohio.edu/graphics/mycsu/col_head2.gif	(from https://mycsu.csuohio.edu/)
00:03:28	225/225	---M--	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202024%2004:03:28%20GMT	http://mycsu.csuohio.edu/committees/mps/	mycsu.csuohio.edu/committees/mps/index.html	(from https://mycsu.csuohio.edu/)
00:03:28	233/233	---M--	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202024%2004:03:28%20GMT	http://mycsu.csuohio.edu/offices/hrd/vikehealth/	mycsu.csuohio.edu/offices/hrd/vikehealth/index.html	(from https://mycsu.csuohio.edu/)
00:03:28	237/237	---M--	302	error ('Found')	text/html	date:Wed,%2020%20Mar%202024%2004:03:28%20GMT	http://mycsu.csuohio.edu/offices/hrd/emss/index.html	mycsu.csuohio.edu/offices/hrd/emss/index.15.delayed	(from https://mycsu.csuohio.edu/)
